id	name	lore	description	effectvalue	effect	requirestarget	buff	buffduration	skill	skillexp	tpx	tpy	tpz	powercost	level	races	scholarlylevel	naturallevel	combatlevel	rangedlevel	onCastText	onCastEndText	onCastTargetText	onCastTargetFail	onBuffStartText	onCastPlayerSay	specialeffect	specialeffectvalue	specialeffecttarget	specialeffecttargetvalue	loottables	region
1	a faded scroll	This ancient scroll seems faded and no longer of use to anyone	You can put any Dev note here	0	effect_none	no			normal	0				0							This appears to have no use										zombie,skeleton	
2	Spell: Translocate: Anchor of the Astral	The locals say the gods first stepped foot on this plane at this very spot. That is of course all nonesense - Researcher Garrin	You can put any Dev note here	0	teleport	no			scholarly	320	530	67	490	50			4				Speaking the incantations on the scroll opens a portal in front of you	You are ripped away by the portal					POTION_BREAK	3	POTION_BREAK	3	spider	
3	Ability: Tending of the Battle Cleric	Upon the page you see various healing techniques of ancient battle clerics	You can put any Dev note here	2	heal	both			natural	320				25				3			You tend to the wounds		You feel relief as your wounds are tended to	Your attempt to heal makes no difference			POTION_BREAK	4	POTION_BREAK	4	zombie,skeleton	
4	Spell: Ring of the North	An ancient page of a druidic prayer book that appears to sparkle with alteration magic	You can put any Dev note here	0	teleport	no			natural	320	164	65	-307	50				10			You speak the ancient druidic prayer to Methabeht						POTION_BREAK	3	POTION_BREAK	3	enderman	
5	Spell: Ring of the South	An ancient page of a druidic prayer book that appears to sparkle with alteration magic	You can put any Dev note here	0	teleport	no			natural	320	167	69	872	50				10			You speak the ancient druidic prayer to Methabeht						POTION_BREAK	3	POTION_BREAK	3	enderman	
6	Spell: Ring of the West	An ancient page of a druidic prayer book that appears to sparkle with alteration magic	You can put any Dev note here	0	teleport	no			natural	320	-397	64	279	50				10			You speak the ancient druidic prayer to Methabeht				They only come out at night		POTION_BREAK	3	POTION_BREAK	3	enderman	
7	Spell: Conjure Fire	Conjuring fire was one of the first abilities taught to the magicians of Tsiyon	You can put any Dev note here	2	targetdmg	yes			scholarly	320				25			1				You struck your target with lashing flames!		You are struck by lashing flames!	There is no target				1	POTION_BREAK	7	zombie,skeleton	
8	Spell: Strike of Methabeht	I swear to you, Lord Methabeht, smite my enemy and I shall forever give myself in service. - Darakua	You can put any Dev note here	2	targetdmg	yes			natural	320				25				1			Your target is struck by the gods!		You are struck by the gods!	There is no target					POTION_BREAK	7	zombie,skeleton	
9	Spell: Ring of Frost	An old elemental school page detailing the art of summoning perfect circles of frost	You can put any Dev note here	2	aoedmg	no			scholarly	320				75			3				You summon a ring of deadly frost at your location!		You are struck by frozen ice!	There is one close enough to feel the effect			POTION_BREAK	9	POTION_BREAK	9	enderman	
10	Spell: Succor: Anchor of the Astral	The locals say the gods first stepped foot on this plane at this very spot. That is of course all nonesense - Researcher Garrin	You can put any Dev note here	0	groupteleport	no			scholarly	320	530	67	490	75			6				Speaking the incantations on the scroll opens a portal in front of your group	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	enderman	
11	Spell: Translocate: Fungi	The parchment seems burned but you make out what appears to be storm runes	You can put any Dev note here	0	teleport	no			scholarly	320	-518	68	864	50			7				Speaking the incantations on the scroll opens a portal in front of you	You are ripped away by the portal					POTION_BREAK	3	POTION_BREAK	3	enderman	
12	Spell: Succor: Fungi	The parchment seems burned but you make out what appears to be storm runes	You can put any Dev note here	0	groupteleport	no			scholarly	320	-518	68	864	100			11				Speaking the incantations on the scroll opens a portal in front of your group	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	enderman	
13	Spell: Ring of the Observers	And we will be charged with this duty until the outsiders arrive - Teleran	You can put any Dev note here	0	teleport	no			natural	320	-305	64	-371	50				5			You speak the ancient druidic prayer to Methabeht						POTION_BREAK	3	POTION_BREAK	3	enderman	
14	Spell: Circle of the Observers	And we will be charged with this duty until the outsiders arrive - Teleran	You can put any Dev note here	0	groupteleport	no			natural	320	-305	64	-371	100				9			You speak the ancient druidic prayer to Methabeht	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	enderman	
